id;icon;name;chat_type
af2a6fc7-2775-4f25-95c8-532ade725380;Gambia superstructure Belarussian;bypass Account;TWO_USER
bcdb56a0-f4f7-4cd9-ba1b-01572a80c4ff;Metrics;e-tailers Seychelles;TWO_USER
073e9614-21f3-44f8-9d5c-2b56c247d15a;compressing sticky;recontextualize Handmade;TWO_USER
04f1c45c-1c1b-4877-81fe-7d1c2cc076db;Loaf quantify Ohio;Ergonomic Bedfordshire National;TWO_USER
71a913d3-2098-45f4-b5c8-8ba9913e3007;proactive;B2C;TWO_USER
6037dd5e-4137-4a2e-838b-ab951698060a;Paradigm Cotton withdrawal;functionalities analyzing;TWO_USER
937d3e9a-6646-455d-ae3d-8a342da185db;PCI;deliverables;GROUPE
b57553ae-add1-40f1-8e9d-87fbe8520484;green calculating Officer;well-modulated invoice synthesizing;GROUPE
fba0df1a-6c56-4560-88aa-2cb70ccedeb5;Dollar;Assurance compress;GROUPE
8f7cf4d7-bef8-4a1c-87a6-57ecd32b82d8;Berkshire Vermont;Lek Infrastructure;GROUPE
