id;text;created_at;image;video;audio;system;sent;received;pending;user_id;chat_id
6f0711fe-8a93-46eb-a0eb-3b2c6de5ac16;sensor;;leverage bricks-and-clicks Operations;Station Fantastic green;Chief;true;false;true;false;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
0fd673c7-9f9d-4824-a668-8e110c4ee874;uniform Generic synergistic;;pixel hacking Account;Rustic;Checking Benin white;false;true;true;true;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
61936786-12e1-4388-8fb7-a65244aa8209;global Pizza;;deposit bypass services;indexing quantify hybrid;Arab Administrator 1080p;true;false;true;false;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
c53bb3a9-2a5e-41d9-b44a-1b05ae15eebb;Movies District;;Lead turquoise Kyat;and experiences;clicks-and-mortar;false;false;true;true;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
7c5f15d0-0483-4732-97b0-2d47a2d26e52;incentivize;;Rubber indexing Tuna;sticky Berkshire Metal;initiative Jersey;true;true;false;false;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
50be65d3-1183-4333-9fb9-bcd8cefffda0;Fiji Small;;Metrics Human;protocol copying functionalities;Borders;true;true;false;true;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
0bb65b08-3922-4334-8991-a05b49ded3fc;Agent indexing;;Unbranded reboot Books;Locks circuit Hat;optimize quantify;true;false;false;true;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
777a61d6-68c8-4e62-be1c-ab6305f791a8;Lead;;Yuan;Division;bifurcated withdrawal;false;false;true;true;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
0e66042b-9bc4-41ca-afdf-57d53e9db5fc;Sleek Squares Jan;;Steel Supervisor Investment;Analyst Rand;morph feed interface;true;true;false;true;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
2fe8598b-3654-481c-b8ff-b62a5bc55be0;Communications protocol SCSI;;reboot Secured Wooden;Regional Senior matrix;Practical Sausages;true;true;true;false;555773d2-60d7-11ec-8607-0242ac130002;af2a6fc7-2775-4f25-95c8-532ade725380
